screen_id,company,fiscal_period,dominant_macro_regime,operating_cash_flow_musd,property_or_capex_musd,cash_after_property_musd,capex_intensity,cash_after_property_conversion,negative_cash_after_property,diagnostic_status,source_artifact
QOE-CASH-001,Target,FY2020,2020,10525,2649,7876,0.251686,0.748314,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-002,Target,FY2021,2021,8625,3544,5081,0.410899,0.589101,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-003,Target,FY2022,2022,4018,5528,-1510,1.375809,-0.375809,true,stress-flag-not-fraud,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-004,Walmart,FY2021,2021,36074,10264,25810,0.284526,0.715474,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-005,Walmart,FY2022,2022,24181,13106,11075,0.541996,0.458004,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-006,Walmart,FY2023,2023,28841,16857,11984,0.584480,0.415520,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-007,TJX,FY2021,2021,4562,568,3994,0.124507,0.875493,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-008,TJX,FY2022,2022,3057,1045,2012,0.341838,0.658162,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-009,TJX,FY2023,2023,4084,1457,2627,0.356758,0.643242,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-010,Target,FY2023,2022,8621,4806,3815,0.557476,0.442524,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-011,Target,FY2024,2023,7367,2891,4476,0.392426,0.607574,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-012,Target,FY2025,2024,6562,3727,2835,0.567967,0.432033,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-013,Walmart,FY2024,2023,35726,20606,15120,0.576779,0.423221,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-014,Walmart,FY2025,2024,36443,23783,12660,0.652608,0.347392,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-015,Walmart,FY2026,2025,41565,26642,14923,0.640972,0.359028,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-016,TJX,FY2024,2023,6057,1722,4335,0.284299,0.715701,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-017,TJX,FY2025,2024,6116,1918,4198,0.313604,0.686396,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
QOE-CASH-018,TJX,FY2026,2025,6874,1957,4917,0.284696,0.715304,false,screened-positive,analysis/company-first-principles/data/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.csv
