bucket	files	bytes
raw/sec/energy	364	539038470
raw/company-ir/energy	386	430885485
raw/company-ir/basic-materials	303	361482610
raw/sec/basic-materials	254	262646696
raw/company-ir/technology	150	222284216
raw/sec/consumer-goods	205	191989214
raw/company-ir/consumer-goods	132	130341866
raw/company-ir/industrial-goods	51	55710119
raw/company-ir/services	69	49881775
raw/annualreports/basic-materials	48	43906879
raw/company-ir/financial	29	37764641
raw/sec/financial	14	17827971
raw/annualreports/energy	80	13010286
raw/sec/technology	9	12741499
raw/annualreports/utilities	1	8041475
raw/annualreports/services	6	6043301
raw/annualreports/consumer-goods	27	1265745
raw/annualreports/technology	20	456093
raw/annualreports/industrial-goods	7	267161
raw/sec/healthcare	1	163138
raw/company-ir/healthcare	9	140643
raw/annualreports/financial	4	80293
raw/annualreports/healthcare	3	77975
