Entity,Code,Month,Data center construction
United States,USA,2014-01,157895121
United States,USA,2014-02,166808555
United States,USA,2014-03,170255331
United States,USA,2014-04,185206999
United States,USA,2014-05,195200074
United States,USA,2014-06,191245497
United States,USA,2014-07,194050006
United States,USA,2014-08,214211046
United States,USA,2014-09,215627044
United States,USA,2014-10,203240620
United States,USA,2014-11,208170101
United States,USA,2014-12,168063286
United States,USA,2015-01,182241758
United States,USA,2015-02,182164445
United States,USA,2015-03,212109285
United States,USA,2015-04,236084837
United States,USA,2015-05,352926497
United States,USA,2015-06,424677918
United States,USA,2015-07,285760116
United States,USA,2015-08,304444022
United States,USA,2015-09,308306734
United States,USA,2015-10,298493584
United States,USA,2015-11,309528736
United States,USA,2015-12,305716193
United States,USA,2016-01,296703038
United States,USA,2016-02,354566286
United States,USA,2016-03,404240040
United States,USA,2016-04,443098241
United States,USA,2016-05,430687759
United States,USA,2016-06,483362945
United States,USA,2016-07,452221892
United States,USA,2016-08,489015337
United States,USA,2016-09,459260349
United States,USA,2016-10,396373816
United States,USA,2016-11,408569934
United States,USA,2016-12,435401392
United States,USA,2017-01,368134856
United States,USA,2017-02,391219220
United States,USA,2017-03,383503554
United States,USA,2017-04,426283908
United States,USA,2017-05,531048598
United States,USA,2017-06,492867096
United States,USA,2017-07,483688217
United States,USA,2017-08,457883618
United States,USA,2017-09,491861325
United States,USA,2017-10,478867595
United States,USA,2017-11,519397343
United States,USA,2017-12,541786434
United States,USA,2018-01,538596172
United States,USA,2018-02,554731709
United States,USA,2018-03,600182417
United States,USA,2018-04,624926154
United States,USA,2018-05,716181544
United States,USA,2018-06,736817545
United States,USA,2018-07,750518018
United States,USA,2018-08,692682761
United States,USA,2018-09,633530622
United States,USA,2018-10,729820053
United States,USA,2018-11,642340124
United States,USA,2018-12,724582864
United States,USA,2019-01,701878149
United States,USA,2019-02,683404861
United States,USA,2019-03,682073960
United States,USA,2019-04,703309555
United States,USA,2019-05,837995047
United States,USA,2019-06,863348265
United States,USA,2019-07,834659808
United States,USA,2019-08,823909346
United States,USA,2019-09,766008923
United States,USA,2019-10,811840962
United States,USA,2019-11,829561910
United States,USA,2019-12,684831968
United States,USA,2020-01,797074213
United States,USA,2020-02,792320879
United States,USA,2020-03,809382970
United States,USA,2020-04,780068709
United States,USA,2020-05,805917537
United States,USA,2020-06,839737787
United States,USA,2020-07,811003231
United States,USA,2020-08,840905949
United States,USA,2020-09,938488751
United States,USA,2020-10,824502809
United States,USA,2020-11,789628267
United States,USA,2020-12,789549805
United States,USA,2021-01,782725369
United States,USA,2021-02,736710904
United States,USA,2021-03,874986825
United States,USA,2021-04,814128316
United States,USA,2021-05,831268766
United States,USA,2021-06,833389553
United States,USA,2021-07,858035635
United States,USA,2021-08,928420438
United States,USA,2021-09,951538122
United States,USA,2021-10,739417624
United States,USA,2021-11,774423430
United States,USA,2021-12,833653916
United States,USA,2022-01,758487089
United States,USA,2022-02,697845226
United States,USA,2022-03,783387967
United States,USA,2022-04,835367468
United States,USA,2022-05,843680049
United States,USA,2022-06,852266178
United States,USA,2022-07,856828307
United States,USA,2022-08,897258251
United States,USA,2022-09,981544989
United States,USA,2022-10,809384149
United States,USA,2022-11,841431106
United States,USA,2022-12,867617419
United States,USA,2023-01,931711940
United States,USA,2023-02,1028227875
United States,USA,2023-03,1091455095
United States,USA,2023-04,1133915422
United States,USA,2023-05,1156908793
United States,USA,2023-06,1193867292
United States,USA,2023-07,1287536634
United States,USA,2023-08,1372194241
United States,USA,2023-09,1404544629
United States,USA,2023-10,1508348914
United States,USA,2023-11,1464249112
United States,USA,2023-12,1485621031
United States,USA,2024-01,1587535409
United States,USA,2024-02,1641183552
United States,USA,2024-03,1849679507
United States,USA,2024-04,1781483496
United States,USA,2024-05,2064834259
United States,USA,2024-06,2266019644
United States,USA,2024-07,2351373733
United States,USA,2024-08,2436327701
United States,USA,2024-09,2474761463
United States,USA,2024-10,2548833107
United States,USA,2024-11,2521084879
United States,USA,2024-12,2734951217
United States,USA,2025-01,2708508261
United States,USA,2025-02,2677047304
United States,USA,2025-03,2846878945
United States,USA,2025-04,3338234618
United States,USA,2025-05,3097981529
United States,USA,2025-06,3019403118
United States,USA,2025-07,3082495041
United States,USA,2025-08,3228965955
United States,USA,2025-09,3318620654
United States,USA,2025-10,3369933995
United States,USA,2025-11,3189271464
United States,USA,2025-12,3306030283
United States,USA,2026-01,3269125368
United States,USA,2026-02,3266471174
United States,USA,2026-03,3495279518
United States,USA,2026-04,3797314911
United States,USA,2026-05,3989363234
United States,USA,2026-06,4356776304
